web-scraper-order,web-scraper-start-url,product
"1680415156-678","https://kotn.com/collections/womens","Heavy Jersey V-Neck Longsleeve in Light Taupe"
"1680415156-679","https://kotn.com/collections/womens","Fine Knit Turtleneck in Black"
"1680415156-680","https://kotn.com/collections/womens","Fitted Turtleneck in Charcoal Melange"
"1680415156-681","https://kotn.com/collections/womens","Heavyweight Longsleeve in Marshmallow"
"1680415156-682","https://kotn.com/collections/womens","Rugby Half-Zip Sweatshirt in Navy/Deep Ocean Stripe"
"1680415156-683","https://kotn.com/collections/womens","Rugby Hoodie in Straw/Navy Stripe"
"1680415156-684","https://kotn.com/collections/womens","Rugby Hoodie in Navy/Port Stripe"
"1680415156-685","https://kotn.com/collections/womens","Essential Sweatshirt in Umber"
"1680415156-686","https://kotn.com/collections/womens","Unisex Essential Hoodie in Black"
"1680415156-687","https://kotn.com/collections/womens","Essential Sweatpant in Light Taupe"
"1680415156-688","https://kotn.com/collections/womens","Rib Pant in Black"
"1680415156-689","https://kotn.com/collections/womens","Collarless Shirt in Pumice Stone"
"1680415156-690","https://kotn.com/collections/womens","Graduate Taper Trousers in Natural"
"1680415156-691","https://kotn.com/collections/womens","Collarless Shirt in Fog"
"1680415156-692","https://kotn.com/collections/womens","Wide Pull-On Trouser in Marshmallow/Midnight Navy/Sand"
"1680415156-693","https://kotn.com/collections/womens","Collarless Shirt in Marshmallow/Midnight Navy/Sand"
"1680415156-694","https://kotn.com/collections/womens","Wide Pull-On Trouser in Black"
"1680415156-695","https://kotn.com/collections/womens","Polo in Porcini"
"1680415156-696","https://kotn.com/collections/womens","Fitted Longsleeve in Black"
"1680415156-697","https://kotn.com/collections/womens","Fitted Turtleneck in Natural"
"1680415156-698","https://kotn.com/collections/womens","Jogger in Porcini"
"1680415156-699","https://kotn.com/collections/womens","Unisex Heavyweight Box Crew in Black"
"1680415156-700","https://kotn.com/collections/womens","Fitted V-Neck Longsleeve in Black"
"1680415156-701","https://kotn.com/collections/womens","Rugby Shirt in Black/Rust Stripe"
"1680415156-702","https://kotn.com/collections/womens","Fitted Turtleneck in Black"
"1680415156-703","https://kotn.com/collections/womens","Ribbed Turtleneck in Black"
